[LOG] [2023-11-27 22:51:37.225399]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 22:51:38.805448]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Инфомиры (3-4 класс)
[LOG] [2023-11-27 22:51:39.740440]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 22:51:49.335059]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 22:56:35.830334]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 22:57:51.759745]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 22:58:25.181956]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 22:58:27.522911]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 22:58:28.981028]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 22:58:30.148973]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 22:58:31.652737]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['faq']
[LOG] [2023-11-27 22:58:39.021081]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 22:59:34.255115]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['faq']
[LOG] [2023-11-27 22:59:50.993051]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 22:59:53.745981]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 22:59:54.917642]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 22:59:56.224205]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 23:00:39.610629]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:00:42.026394]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 23:00:46.627069]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:00:49.823498]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 23:00:53.827460]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['faq']
[LOG] [2023-11-27 23:01:12.313130]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:01:14.944298]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 23:01:17.173166]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:01:19.452179]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 23:01:21.005699]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['faq']
[LOG] [2023-11-27 23:01:27.139851]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:01:30.082517]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 23:01:30.567221]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 23:01:31.248961]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 23:01:31.763336]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 23:01:32.081487]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Подготовительная (1 класс)
[LOG] [2023-11-27 23:02:01.594447]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 23:02:01.990897]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 23:02:03.061601]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 23:02:03.791685]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_NEW | Text: Байтик (2 класс)
[LOG] [2023-11-27 23:02:15.017750]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
[LOG] [2023-11-27 23:12:39.203848]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:13:04.412450]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['directions']
[LOG] [2023-11-27 23:13:16.795996]: UserID: 170852963 | Scenary: directions | Event: VkBotEventType.MESSAGE_EVENT | Payload: ['start']
